sample_id,path,metadata_path,donor_id,assay,protocol,n_annotated_cells,n_annotated_types,include
CLL-pilot1_TST,data/gse140819/raw/CLL-pilot1_TST.h5,data/gse140819/metadata/CLL-pilot1_TST.csv,CLL-pilot1,snRNA,TST,2339,3,True
CLL-pilot1_fresh,data/gse140819/raw/CLL-pilot1_fresh.h5,data/gse140819/metadata/CLL-pilot1_fresh.csv,CLL-pilot1,scRNA,fresh,2562,3,True
CY112_nuclei,data/gse140819/raw/CY112_nuclei.h5,data/gse140819/metadata/CY112_nuclei.csv,CY112,snRNA,nuclei,2899,8,True
CY128_nuclei,data/gse140819/raw/CY128_nuclei.h5,data/gse140819/metadata/CY128_nuclei.csv,CY128,snRNA,nuclei,5236,7,True
HTAPP-244-SMP-451_CST,data/gse140819/raw/HTAPP-244-SMP-451_CST.h5,data/gse140819/metadata/HTAPP-244-SMP-451_CST.csv,HTAPP-244-SMP-451,snRNA,CST,6157,7,True
HTAPP-244-SMP-451_EZ,data/gse140819/raw/HTAPP-244-SMP-451_EZ.h5,data/gse140819/metadata/HTAPP-244-SMP-451_EZ.csv,HTAPP-244-SMP-451,snRNA,EZ,7896,7,True
HTAPP-244-SMP-451_NST,data/gse140819/raw/HTAPP-244-SMP-451_NST.h5,data/gse140819/metadata/HTAPP-244-SMP-451_NST.csv,HTAPP-244-SMP-451,snRNA,NST,7531,6,True
HTAPP-244-SMP-451_TST,data/gse140819/raw/HTAPP-244-SMP-451_TST.h5,data/gse140819/metadata/HTAPP-244-SMP-451_TST.csv,HTAPP-244-SMP-451,snRNA,TST,7415,7,True
HTAPP-254-SMP-571_LD,data/gse140819/raw/HTAPP-254-SMP-571_LD.h5,data/gse140819/metadata/HTAPP-254-SMP-571_LD.csv,HTAPP-254-SMP-571,scRNA,LD,2779,5,True
HTAPP-285-SMP-751_fresh,data/gse140819/raw/HTAPP-285-SMP-751_fresh.h5,data/gse140819/metadata/HTAPP-285-SMP-751_fresh.csv,HTAPP-285-SMP-751,scRNA,fresh,4463,8,True
HTAPP-312-SMP-901_fresh-T1,data/gse140819/raw/HTAPP-312-SMP-901_fresh-T1.h5,data/gse140819/metadata/HTAPP-312-SMP-901_fresh-T1.csv,HTAPP-312-SMP-901,scRNA,fresh-T1,4369,3,True
HTAPP-312-SMP-902_fresh-C4-T2,data/gse140819/raw/HTAPP-312-SMP-902_fresh-C4-T2.h5,data/gse140819/metadata/HTAPP-312-SMP-902_fresh-C4-T2.csv,HTAPP-312-SMP-902,scRNA,fresh-C4-T2,786,5,True
HTAPP-316-SMP-991_CST,data/gse140819/raw/HTAPP-316-SMP-991_CST.h5,data/gse140819/metadata/HTAPP-316-SMP-991_CST.csv,HTAPP-316-SMP-991,snRNA,CST,9026,8,True
HTAPP-316-SMP-991_NST,data/gse140819/raw/HTAPP-316-SMP-991_NST.h5,data/gse140819/metadata/HTAPP-316-SMP-991_NST.csv,HTAPP-316-SMP-991,snRNA,NST,5970,7,True
HTAPP-316-SMP-991_TST,data/gse140819/raw/HTAPP-316-SMP-991_TST.h5,data/gse140819/metadata/HTAPP-316-SMP-991_TST.csv,HTAPP-316-SMP-991,snRNA,TST,10493,10,True
HTAPP-394-SMP-1561_CST,data/gse140819/raw/HTAPP-394-SMP-1561_CST.h5,data/gse140819/metadata/HTAPP-394-SMP-1561_CST.csv,HTAPP-394-SMP-1561,snRNA,CST,6948,6,True
HTAPP-394-SMP-1561_NST,data/gse140819/raw/HTAPP-394-SMP-1561_NST.h5,data/gse140819/metadata/HTAPP-394-SMP-1561_NST.csv,HTAPP-394-SMP-1561,snRNA,NST,8058,6,True
HTAPP-443-SMP-5491_CST,data/gse140819/raw/HTAPP-443-SMP-5491_CST.h5,data/gse140819/metadata/HTAPP-443-SMP-5491_CST.csv,HTAPP-443-SMP-5491,snRNA,CST,3967,5,True
HTAPP-589-SMP-2851_CST,data/gse140819/raw/HTAPP-589-SMP-2851_CST.h5,data/gse140819/metadata/HTAPP-589-SMP-2851_CST.csv,HTAPP-589-SMP-2851,snRNA,CST,7858,6,True
HTAPP-589-SMP-2851_TST,data/gse140819/raw/HTAPP-589-SMP-2851_TST.h5,data/gse140819/metadata/HTAPP-589-SMP-2851_TST.csv,HTAPP-589-SMP-2851,snRNA,TST,8373,7,True
HTAPP-624-SMP-3212_fresh,data/gse140819/raw/HTAPP-624-SMP-3212_fresh.h5,data/gse140819/metadata/HTAPP-624-SMP-3212_fresh.csv,HTAPP-624-SMP-3212,scRNA,fresh,4066,8,True
HTAPP-656-SMP-3481_TST,data/gse140819/raw/HTAPP-656-SMP-3481_TST.h5,data/gse140819/metadata/HTAPP-656-SMP-3481_TST.csv,HTAPP-656-SMP-3481,snRNA,TST,7810,7,True
HTAPP-656-SMP-3481_fresh-T1,data/gse140819/raw/HTAPP-656-SMP-3481_fresh-T1.h5,data/gse140819/metadata/HTAPP-656-SMP-3481_fresh-T1.csv,HTAPP-656-SMP-3481,scRNA,fresh-T1,3449,9,True
HTAPP-727-SMP-3781_fresh-CD45neg-T1,data/gse140819/raw/HTAPP-727-SMP-3781_fresh-CD45neg-T1.h5,data/gse140819/metadata/HTAPP-727-SMP-3781_fresh-CD45neg-T1.csv,HTAPP-727-SMP-3781,scRNA,fresh-CD45neg-T1,2359,5,True
